"","Sub","Run","x","y","FixDur","NumFix","Stim","Talker","Syll","PC_Eyes","PC_Mouth","PC_Off","PC_Up","PC_Low","Dist_Eyes","Dist_Mouth","Code","AQ","NewNum"
"7029",30,2,956.563981042654,568.138794854435,5908,3,11,4,2,0.119837508463101,0.880162491536899,0,0.119837508463101,0.880162491536899,2.82483690188603,0.726003628534355,9965,28,64
"7030",30,2,923.803041274439,585.792179580014,2762,2,10,4,1,0,0.850108616944243,0.149891383055757,0,1,2.89505172386191,0.635096485358156,9965,28,64
"7031",30,2,984.234159779614,586.422865013774,8712,3,6,2,3,0.0964187327823691,0.903581267217631,0,0.0964187327823691,0.903581267217631,2.8889238881889,0.766715237901127,9965,28,64
"7032",30,2,972.675932699342,624.878566203365,2734,3,4,2,1,0,0.901243599122165,0.0987564008778347,0,1,3.57229198410208,0.923426045167262,9965,28,64
"7033",30,2,995.676797627872,592.538176426983,5396,4,2,1,2,0,0.922164566345441,0.0778354336545589,0,1,3.43039017013896,0.659806899867409,9965,28,64
"7034",30,2,970.921692169217,567.805580558056,6666,5,9,3,3,0,0.776777677767777,0.223222322232223,0,1,3.80721625753072,1.16853863980524,9965,28,64
"7035",30,2,974.742767787334,578.584050039093,5116,5,5,2,2,0.19546520719312,0.80453479280688,0,0.19546520719312,0.80453479280688,2.59855748041499,0.720342272008072,9965,28,64
"7036",30,2,971.396992481203,528.344360902256,2660,6,8,3,2,0,0.82406015037594,0,0,1,2.85092952887116,0.776541779401947,9965,28,64
"7037",30,2,976.55504587156,586.326452599388,2616,2,1,1,1,0,1,0,0,1,3.19936073140483,0.455110339887542,9965,28,64
"7038",30,3,899.472612359551,531.926966292135,2848,2,1,1,1,0,0.490870786516854,0,0,1,2.75269828371797,2.40780822256775,9965,28,64
"7039",30,3,904.703703703704,605.108315863033,2862,3,4,2,1,0,1,0,0,1,3.50725619871349,1.67748468841812,9965,28,64
"7040",30,3,950.467427803895,546.98522498321,8934,2,3,1,3,0,0.851578240429819,0,0.148421759570181,0.851578240429819,2.50219404081165,1.45877177953265,9965,28,64
"7041",30,3,940.919159256265,517.183508488278,4948,3,2,1,2,0,0.268391269199677,0,0.731608730800323,0.268391269199677,1.86714551612911,1.96128015435249,9965,28,64
"7042",30,3,931.433172302737,500.191626409018,4968,2,8,3,2,0.156199677938808,0.843800322061192,0,0.156199677938808,0.843800322061192,2.44675857869087,1.69702274355814,9965,28,64
"7043",30,3,927.880027739251,549.418169209431,8652,4,6,2,3,0.255894590846047,0.744105409153953,0,0.255894590846047,0.744105409153953,2.42991467477952,1.65010033166662,9965,28,64
"7044",30,3,918.13074204947,569.494699646643,5660,2,5,2,2,0,0.915194346289753,0.0848056537102474,0,1,2.46803834136945,1.22815012726857,9965,28,64
"7045",30,3,905.817262830482,530.42068429238,5144,7,11,4,2,0.124416796267496,0.545101088646967,0.122861586314152,0.358475894245723,0.641524105754277,2.22088171589742,1.66886042857564,9965,28,64
"7046",30,3,936.700934579439,510.103738317757,6420,3,9,3,3,0,0.21214953271028,0,0,1,2.56642223321605,1.4945752454353,9965,28,64
"7047",30,3,945.259259259259,515.299382716049,1944,6,7,3,1,0,0.934156378600823,0.0113168724279835,0.0545267489711934,0.945473251028807,2.63301148276433,1.1264799778679,9965,28,64
"7048",30,3,899.530172413793,569.948275862069,2784,2,10,4,1,0,1,0,0,1,2.70489924675939,1.15446416022276,9965,28,64
