"","Sub","Run","Movie","Avg_x","Avg_y","P_Lower","P_Upper","P_Mouth","P_Eye","P_NotROI","P_NotFace","NumFix","Std_x","Std_y"
"169",5,1,9,976,484,0.173056994818653,0.748186528497409,0.163730569948187,0.726424870466321,0.109844559585492,0.0787564766839378,49,123.626831838525,88.0459006344991
"170",5,1,10,910,487,0.190201729106628,0.648414985590778,0.190201729106628,0.524495677233429,0.285302593659942,0.161383285302594,26,131.684480350844,117.62328715679
"171",5,2,1,934,480,0.0163934426229508,0.841530054644809,0.0163934426229508,0.784153005464481,0.199453551912568,0.14207650273224,29,120.053427917156,69.2154132083486
"172",5,2,2,865,464,0.175115207373272,0.670506912442396,0.133640552995392,0.629032258064516,0.237327188940092,0.154377880184332,25,83.0189717716471,107.371152646161
"173",5,2,3,1013,526,0.140816326530612,0.683673469387755,0.026530612244898,0.614285714285714,0.359183673469388,0.175510204081633,32,239.741024381196,115.120671816795
"174",5,2,4,1000,473,0.149943630214205,0.724915445321308,0.140924464487035,0.535512965050733,0.323562570462232,0.125140924464487,56,184.036390204899,120.415955625421
"175",5,2,5,885,448,0.0732824427480916,0.856488549618321,0.0274809160305344,0.856488549618321,0.116030534351145,0.0702290076335878,34,68.836990427332,60.5215457707133
"176",5,2,6,890,546,0.0439189189189189,0.82347972972973,0.0388513513513514,0.791385135135135,0.169763513513514,0.132601351351351,52,167.969026109478,104.404712706544
"177",5,2,7,979,501,0.0146137787056367,0.776617954070981,0.00417536534446764,0.753653444676409,0.242171189979123,0.208768267223382,39,112.011383728491,120.732766816881
"178",5,2,8,923,459,0.102068965517241,0.782068965517241,0.0482758620689655,0.75448275862069,0.197241379310345,0.115862068965517,43,154.142499082199,108.298770903969
